month,entry_date,entry_price,exit_date,exit_price,monthly_return_pct,holding_days,equity_curve,cumulative_return_pct,drawdown_pct
2016-07,2016-07-01,8626.0,2016-07-29,8893.0,0.025824049999999987,29,0.9988930384027315,-0.11069615972685298,-0.13692804507434708
2016-08,2016-08-01,9041.0,2016-08-31,8976.0,-0.00740084999999981,31,0.9988191118272989,-0.11808881727011222,-0.14431876123511822
2016-09,2016-09-01,8941.0,2016-09-30,9128.0,0.017796550000000026,30,0.9989968671699448,-0.10031328300551534,-0.12654789499562114
2016-10,2016-10-03,9194.0,2016-10-31,9283.0,0.007976150000000052,29,0.9990765486585658,-0.09234513414342338,-0.11858183864552618
2016-11,2016-11-01,9280.0,2016-11-30,9226.0,-0.006325299999999879,30,0.9990133540696334,-0.09866459303665698,-0.1248996379884959
2016-12,2016-12-01,9261.0,2016-12-30,9262.0,-0.0008261499999998704,30,0.9990051007208088,-0.09948992791911637,-0.12572475613013
2017-01,2017-01-03,9281.0,2017-01-24,9446.0,0.015563650000000054,22,0.9991605823781671,-0.08394176218329275,-0.1101806734911448
2017-02,2017-02-02,9375.0,2017-02-24,9761.0,0.03764320000000007,23,0.9995366983945128,-0.0463301605487243,-0.07257894902243933
2017-03,2017-03-01,9682.0,2017-03-31,9821.0,0.01292484999999997,31,0.9996658870134751,-0.03341129865248593,-0.059663479742733116
2017-04,2017-04-05,9961.0,2017-04-28,9857.0,-0.011390899999999964,24,0.9995520160719513,-0.04479839280486786,-0.07104758353542184
2017-05,2017-05-02,9932.0,2017-05-31,10094.0,0.0151987000000001,30,0.9997039349842181,-0.029606501578194333,-0.055859681844505626
2017-06,2017-06-01,10025.0,2017-06-30,10223.0,0.018787600000000203,30,0.9998917553607072,-0.010824463929282047,-0.037082576538083334
2017-07,2017-07-03,10257.0,2017-07-31,10348.0,0.008069750000000203,29,0.9999724441256355,-0.002755587436453766,-0.029015819009303723
2017-08,2017-08-01,10348.0,2017-08-31,10559.0,0.02005465000000022,31,1.0001729850994012,0.017298509940122386,-0.00896698803025675
2017-09,2017-09-01,10574.0,2017-09-30,10349.0,-0.023546149999999943,30,0.9999374828680703,-0.0062517131929729075,-0.032511026649795216
2017-10,2017-10-02,10449.0,2017-10-31,10744.0,0.028440350000000034,30,1.0002218685879791,0.02218685879791238,-0.004079922899569155
2017-11,2017-11-01,10793.0,2017-11-30,10651.0,-0.015272199999999793,30,1.0000691127037646,0.006911270376463996,-0.01935149980558659
2017-12,2017-12-01,10612.0,2017-12-29,10581.0,-0.004159649999999783,29,1.000027513328918,0.002751332891803848,-0.02351034485091885
2018-01,2018-01-02,10709.0,2018-01-31,11098.0,0.037809650000000146,30,1.0004056202316114,0.040562023161139216,0.0
2018-02,2018-02-01,11160.0,2018-02-27,10791.0,-0.037997549999999866,27,1.000025490605861,0.002549060586098939,-0.037997550000012925
2018-03,2018-03-01,10735.0,2018-03-31,10926.0,0.018016949999999997,31,1.0002056646984907,0.0205664698490704,-0.019987445999591902
2018-04,2018-04-02,10865.0,2018-04-30,10655.0,-0.02207599999999984,29,0.9999848592959518,-0.0015140704048177689,-0.042059033571018034
2018-05,2018-05-02,10609.0,2018-05-31,10867.0,0.024726200000000063,30,1.000232117552231,0.023211755223107033,-0.017343233171773775
