original_date,Time,Symbol,Open,High,Low,Close,Volume,Signal
2018/01/15,2018-01-15,TX,10909.0,10940.0,10886.0,10938.0,841.0,0.0
2018/01/15,2018-01-15,TX,10877.0,10913.0,10870.0,10909.0,1116.0,0.0
2018/01/15,2018-01-15,TX,10922.0,10955.0,10896.0,10953.0,39499.0,0.0
2018/01/16,2018-01-16,TX,-3.0,-2.0,-8.0,-5.0,24209.0,0.0
2018/01/16,2018-01-16,TX,-4.0,-3.0,-4.0,-3.0,13.0,0.0
2018/01/16,2018-01-16,TX,,,,,,0.0
2018/01/16,2018-01-16,TX,,,,,,0.0
2018/01/16,2018-01-16,TX,-82.0,-82.0,-83.0,-83.0,18.0,0.0
2018/01/16,2018-01-16,TX,,,,,,0.0
2018/01/16,2018-01-16,TX,,,,,,0.0
2018/01/16,2018-01-16,TX,,,,,,0.0
2018/01/16,2018-01-16,TX,-13.0,-13.0,-13.0,-13.0,51.0,0.0
2018/01/16,2018-01-16,TX,,,,,,0.0
2018/01/16,2018-01-16,TX,,,,,,0.0
2018/01/16,2018-01-16,TX,,,,,,0.0
2018/01/16,2018-01-16,TX,-484.0,-484.0,-485.0,-484.0,19.0,0.0
2018/01/16,2018-01-16,TX,,,,,,0.0
2018/01/16,2018-01-16,TX,,,,,,0.0
2018/01/16,2018-01-16,TX,,,,,,0.0
2018/01/16,2018-01-16,TX,10860.0,10900.0,10839.0,10900.0,218.0,0.0
2018/01/16,2018-01-16,TX,10444.0,10495.0,10435.0,10494.0,195.0,0.0
2018/01/16,2018-01-16,TX,10939.0,10986.0,10918.0,10983.0,118376.0,0.0
2018/01/16,2018-01-16,TX,10947.0,10949.0,10935.0,10940.0,6958.0,0.0
2018/01/16,2018-01-16,TX,10931.0,10980.0,10915.0,10979.0,45444.0,0.0
2018/01/16,2018-01-16,TX,10944.0,10945.0,10931.0,10936.0,1316.0,0.0
2018/01/16,2018-01-16,TX,10924.0,10968.0,10901.0,10965.0,887.0,0.0
2018/01/16,2018-01-16,TX,10928.0,10930.0,10918.0,10922.0,103.0,0.0
2018/01/16,2018-01-16,TX,10455.0,10457.0,10450.0,10456.0,10.0,0.0
2018/01/16,2018-01-16,TX,10857.0,10869.0,10857.0,10862.0,116.0,0.0
